Date,Region,Confirmed Cases,Deaths,Suspected Cases
2024-06-30,Sattari,14,0,17
2024-07-07,Sattari,15,0,21
2024-07-14,Sattari,17,0,24
2024-07-21,Sattari,15,0,24
2024-07-28,Sattari,15,0,26
2024-08-04,Sattari,48,0,54
2024-08-11,Sattari,14,0,15
2024-08-18,Sattari,15,0,25
2024-08-25,Sattari,14,0,20
2024-09-01,Sattari,16,0,22
2024-09-08,Sattari,13,0,23
2024-09-15,Sattari,16,0,17
2024-09-22,Sattari,17,0,29
2024-09-29,Sattari,15,0,26
2024-10-06,Sattari,16,0,20
2024-10-13,Sattari,16,0,16
2024-10-20,Sattari,14,0,20
2024-10-27,Sattari,14,0,24
2024-11-03,Sattari,16,0,27
2024-11-10,Sattari,15,0,22
2024-11-17,Sattari,15,0,17
2024-11-24,Sattari,14,0,22
2024-12-01,Sattari,16,0,19
2024-12-08,Sattari,14,0,15
2024-12-15,Sattari,14,0,25
2024-12-22,Sattari,15,0,28
2024-12-29,Sattari,15,0,28
2024-01-07,Ponda,19,0,32
2024-01-14,Ponda,17,1,17
2024-01-21,Ponda,17,0,18
2024-01-28,Ponda,18,0,31
2024-02-04,Ponda,18,0,23
2024-02-11,Ponda,17,0,21
2024-02-18,Ponda,54,0,65
2024-02-25,Ponda,18,0,29
2024-03-03,Ponda,21,0,29
2024-03-10,Ponda,19,0,29
2024-03-17,Ponda,18,0,30
2024-03-24,Ponda,62,0,62
2024-03-31,Ponda,40,0,47
2024-04-07,Ponda,17,0,28
2024-04-14,Ponda,19,0,30
2024-04-21,Ponda,20,0,28
2024-04-28,Ponda,17,0,28
2024-05-05,Ponda,17,0,28
2024-05-12,Ponda,16,0,24
2024-05-19,Ponda,18,0,22
2024-05-26,Ponda,17,0,30
2024-06-02,Ponda,21,0,32
2024-06-09,Ponda,16,0,27
2024-06-16,Ponda,15,0,29
2024-06-23,Ponda,17,0,22
2024-06-30,Ponda,18,0,24
2024-07-07,Ponda,18,0,29
2024-07-14,Ponda,18,0,27
2024-07-21,Ponda,21,0,32
2024-07-28,Ponda,19,0,26
2024-08-04,Ponda,17,0,22
2024-08-11,Ponda,19,0,27
2024-08-18,Ponda,20,0,27
2024-08-25,Ponda,20,0,32
2024-09-01,Ponda,20,0,20
2024-09-08,Ponda,16,0,26
2024-09-15,Ponda,17,0,31
2024-09-22,Ponda,16,0,24
2024-09-29,Ponda,19,0,24
2024-10-06,Ponda,17,0,30
2024-10-13,Ponda,17,0,21
2024-10-20,Ponda,17,0,24
2024-10-27,Ponda,19,0,22
2024-11-03,Ponda,15,0,20
2024-11-10,Ponda,18,0,27
2024-11-17,Ponda,17,0,18
2024-11-24,Ponda,18,0,19
2024-12-01,Ponda,18,0,25
2024-12-08,Ponda,18,0,25
2024-12-15,Ponda,59,0,68
2024-12-22,Ponda,17,0,28
2024-12-29,Ponda,16,0,21
2024-01-07,Mormugao,20,0,21
2024-01-14,Mormugao,20,0,34
2024-01-21,Mormugao,21,0,27
2024-01-28,Mormugao,22,0,25
2024-02-04,Mormugao,23,0,30
2024-02-11,Mormugao,21,0,31
2024-02-18,Mormugao,22,0,26
2024-02-25,Mormugao,20,0,31
2024-03-03,Mormugao,23,0,23
2024-03-10,Mormugao,18,0,28
2024-03-17,Mormugao,22,0,22
2024-03-24,Mormugao,22,0,28
2024-03-31,Mormugao,59,0,72
2024-04-07,Mormugao,21,0,32
2024-04-14,Mormugao,22,0,33
2024-04-21,Mormugao,20,0,22
2024-04-28,Mormugao,19,0,27
2024-05-05,Mormugao,71,0,72
2024-05-12,Mormugao,19,0,22
2024-05-19,Mormugao,21,0,26
2024-05-26,Mormugao,19,0,22
2024-06-02,Mormugao,26,0,31
2024-06-09,Mormugao,20,0,30
2024-06-16,Mormugao,19,0,25
2024-06-23,Mormugao,23,0,31
2024-06-30,Mormugao,22,0,29
2024-07-07,Mormugao,19,0,32
2024-07-14,Mormugao,44,0,45
2024-07-21,Mormugao,22,0,35
2024-07-28,Mormugao,22,0,33
2024-08-04,Mormugao,19,0,19
2024-08-11,Mormugao,20,0,25
2024-08-18,Mormugao,23,0,35
2024-08-25,Mormugao,21,0,32
2024-09-01,Mormugao,23,0,34
2024-09-08,Mormugao,22,0,35
2024-09-15,Mormugao,20,0,33
2024-09-22,Mormugao,18,0,18
2024-09-29,Mormugao,22,0,26
2024-10-06,Mormugao,23,0,33
2024-10-13,Mormugao,19,0,30
2024-10-20,Mormugao,22,0,26
2024-10-27,Mormugao,18,0,30
2024-11-03,Mormugao,19,0,22
2024-11-10,Mormugao,21,0,21
2024-11-17,Mormugao,21,0,23
2024-11-24,Mormugao,19,0,27
2024-12-01,Mormugao,19,0,31
2024-12-08,Mormugao,19,0,32
2024-12-15,Mormugao,20,0,33
2024-12-22,Mormugao,24,0,28
2024-12-29,Mormugao,21,0,29
2024-01-07,Salcete,21,0,32
2024-01-14,Salcete,21,0,28
2024-01-21,Salcete,57,0,70
2024-01-28,Salcete,22,0,27
2024-02-04,Salcete,21,0,31
2024-02-11,Salcete,21,0,31
2024-02-18,Salcete,20,0,33
2024-02-25,Salcete,21,0,26
2024-03-03,Salcete,25,0,29
2024-03-10,Salcete,21,0,23
2024-03-17,Salcete,21,0,32
2024-03-24,Salcete,22,1,34
2024-03-31,Salcete,25,0,29
2024-04-07,Salcete,23,0,28
2024-04-14,Salcete,22,0,25
2024-04-21,Salcete,20,0,29
2024-04-28,Salcete,24,0,38
2024-05-05,Salcete,25,0,31
2024-05-12,Salcete,21,0,21
2024-05-19,Salcete,21,0,35
2024-05-26,Salcete,21,0,31
2024-06-02,Salcete,25,0,27
2024-06-09,Salcete,23,0,23
2024-06-16,Salcete,20,0,28
2024-06-23,Salcete,22,0,25
2024-06-30,Salcete,20,0,31
2024-07-07,Salcete,21,0,22
2024-07-14,Salcete,20,0,31
2024-07-21,Salcete,22,0,28
2024-07-28,Salcete,24,0,28
2024-08-04,Salcete,22,0,31
2024-08-11,Salcete,21,0,32
2024-08-18,Salcete,21,0,31
2024-08-25,Salcete,22,0,32
2024-09-01,Salcete,21,0,22
2024-09-08,Salcete,21,0,25
2024-09-15,Salcete,23,0,26
2024-09-22,Salcete,25,0,25
2024-09-29,Salcete,23,0,30
2024-10-06,Salcete,23,0,32
2024-10-13,Salcete,21,0,22
2024-10-20,Salcete,21,0,25
2024-10-27,Salcete,23,0,35
2024-11-03,Salcete,20,0,23
2024-11-10,Salcete,23,0,34
2024-11-17,Salcete,19,0,24
2024-11-24,Salcete,22,0,27
2024-12-01,Salcete,21,0,32
2024-12-08,Salcete,20,0,31
2024-12-15,Salcete,22,0,33
2024-12-22,Salcete,20,0,21
2024-12-29,Salcete,21,0,27
2024-01-07,Quepem,14,0,20
2024-01-14,Quepem,11,0,12
2024-01-21,Quepem,10,0,17
2024-01-28,Quepem,13,0,24
2024-02-04,Quepem,12,0,15
2024-02-11,Quepem,11,0,22
2024-02-18,Quepem,9,0,10
2024-02-25,Quepem,8,0,13
2024-03-03,Quepem,11,0,16
2024-03-10,Quepem,61,0,68
2024-03-17,Quepem,9,1,21
2024-03-24,Quepem,11,0,18
2024-03-31,Quepem,12,0,17
2024-04-07,Quepem,39,0,49
2024-04-14,Quepem,13,0,16
2024-04-21,Quepem,11,0,16
2024-04-28,Quepem,14,0,20
2024-05-05,Quepem,32,0,44
2024-05-12,Quepem,9,0,11
2024-05-19,Quepem,34,0,44
2024-05-26,Quepem,12,0,12
2024-06-02,Quepem,10,0,18
2024-06-09,Quepem,10,0,13
2024-06-16,Quepem,13,0,19
2024-06-23,Quepem,14,0,20
2024-06-30,Quepem,8,0,17
2024-07-07,Quepem,13,0,22
2024-07-14,Quepem,11,0,25
2024-07-21,Quepem,10,0,14
2024-07-28,Quepem,49,0,51
2024-08-04,Quepem,9,0,12
2024-08-11,Quepem,12,0,25
2024-08-18,Quepem,9,0,16
2024-08-25,Quepem,11,0,21
2024-09-01,Quepem,10,0,10
2024-09-08,Quepem,12,0,15
2024-09-15,Quepem,11,0,25
2024-09-22,Quepem,13,0,16
2024-09-29,Quepem,9,0,21
2024-10-06,Quepem,11,0,12
2024-10-13,Quepem,8,0,21
2024-10-20,Quepem,12,0,12
2024-10-27,Quepem,11,0,24
2024-11-03,Quepem,10,0,13
2024-11-10,Quepem,12,0,13
2024-11-17,Quepem,10,0,10
2024-11-24,Quepem,8,0,19
2024-12-01,Quepem,12,0,20
2024-12-08,Quepem,10,0,22
2024-12-15,Quepem,12,1,19
2024-12-22,Quepem,11,0,16
2024-12-29,Quepem,12,0,18
2024-01-07,Canacona,21,0,35
2024-01-14,Canacona,17,0,31
2024-01-21,Canacona,20,0,30
2024-01-28,Canacona,19,0,24
2024-02-04,Canacona,16,0,29
2024-02-11,Canacona,17,0,20
2024-02-18,Canacona,20,0,30
2024-02-25,Canacona,16,0,27
2024-03-03,Canacona,20,0,21
2024-03-10,Canacona,17,0,31
2024-03-17,Canacona,15,0,25
2024-03-24,Canacona,16,0,25
2024-03-31,Canacona,18,0,21
2024-04-07,Canacona,19,0,21
2024-04-14,Canacona,19,0,23
2024-04-21,Canacona,19,0,22
2024-04-28,Canacona,18,0,27
2024-05-05,Canacona,15,0,27
2024-05-12,Canacona,16,0,18
2024-05-19,Canacona,18,0,27
2024-05-26,Canacona,21,0,30
2024-06-02,Canacona,19,0,23
2024-06-09,Canacona,19,0,21
2024-06-16,Canacona,20,0,34
2024-06-23,Canacona,18,0,24
2024-06-30,Canacona,20,0,33
2024-07-07,Canacona,17,0,20
2024-07-14,Canacona,16,0,30
2024-07-21,Canacona,17,0,29
2024-07-28,Canacona,21,0,21
2024-08-04,Canacona,17,0,29
2024-08-11,Canacona,18,0,27
2024-08-18,Canacona,17,0,29
2024-08-25,Canacona,20,0,32
2024-09-01,Canacona,20,0,32
2024-09-08,Canacona,16,0,17
2024-09-15,Canacona,17,0,25
2024-09-22,Canacona,22,0,24
2024-09-29,Canacona,17,0,27
2024-10-06,Canacona,16,0,29
2024-10-13,Canacona,18,0,32
2024-10-20,Canacona,15,0,24
2024-10-27,Canacona,19,0,31
2024-11-03,Canacona,18,0,32
2024-11-10,Canacona,20,0,25
2024-11-17,Canacona,17,0,30
2024-11-24,Canacona,18,0,27
2024-12-01,Canacona,20,0,33
2024-12-08,Canacona,17,0,22
2024-12-15,Canacona,16,0,22
2024-12-22,Canacona,16,0,27
2024-12-29,Canacona,17,0,31
2024-01-07,Sanguem,13,0,19
2024-01-14,Sanguem,14,1,24
2024-01-21,Sanguem,12,0,24
2024-01-28,Sanguem,14,0,19
2024-02-04,Sanguem,9,0,12
2024-02-11,Sanguem,9,0,11
2024-02-18,Sanguem,13,0,14
2024-02-25,Sanguem,12,0,18
2024-03-03,Sanguem,13,0,18
2024-03-10,Sanguem,10,0,16
2024-03-17,Sanguem,13,0,18
2024-03-24,Sanguem,10,0,24
2024-03-31,Sanguem,10,0,23
2024-04-07,Sanguem,10,0,20
2024-04-14,Sanguem,16,0,21
2024-04-21,Sanguem,39,0,39
2024-04-28,Sanguem,16,0,30
2024-05-05,Sanguem,10,0,24
2024-05-12,Sanguem,12,0,18
2024-05-19,Sanguem,13,0,22
2024-05-26,Sanguem,11,0,15
2024-06-02,Sanguem,54,0,67
2024-06-09,Sanguem,11,0,14
2024-06-16,Sanguem,10,0,24
2024-06-23,Sanguem,12,0,22
2024-06-30,Sanguem,12,0,14
2024-07-07,Sanguem,9,0,9
2024-07-14,Sanguem,12,0,24
2024-07-21,Sanguem,55,0,55
2024-07-28,Sanguem,11,0,19
2024-08-04,Sanguem,14,0,22
2024-08-11,Sanguem,17,0,29
2024-08-18,Sanguem,12,0,24
2024-08-25,Sanguem,14,0,23
2024-09-01,Sanguem,10,0,24
2024-09-08,Sanguem,11,0,14
2024-09-15,Sanguem,11,0,14
2024-09-22,Sanguem,11,0,18
2024-09-29,Sanguem,11,0,20
2024-10-06,Sanguem,11,0,17
2024-10-13,Sanguem,14,0,18
2024-10-20,Sanguem,10,0,24
2024-10-27,Sanguem,32,0,40
2024-11-03,Sanguem,11,0,25
2024-11-10,Sanguem,14,0,16
2024-11-17,Sanguem,12,0,18
2024-11-24,Sanguem,13,0,15
2024-12-01,Sanguem,10,0,12
2024-12-08,Sanguem,12,0,16
2024-12-15,Sanguem,49,0,55
2024-12-22,Sanguem,12,0,21
2024-12-29,Sanguem,13,0,21
2024-01-07,Dharbandora,21,0,22
2024-01-14,Dharbandora,20,0,23
2024-01-21,Dharbandora,55,0,66
2024-01-28,Dharbandora,24,0,32
2024-02-04,Dharbandora,25,0,34
2024-02-11,Dharbandora,22,0,22
2024-02-18,Dharbandora,19,0,29
2024-02-25,Dharbandora,67,0,71
2024-03-03,Dharbandora,20,0,25
2024-03-10,Dharbandora,20,0,31
2024-03-17,Dharbandora,25,0,38
2024-03-24,Dharbandora,22,0,33
2024-03-31,Dharbandora,23,0,37
2024-04-07,Dharbandora,23,0,23
2024-04-14,Dharbandora,23,0,35
2024-04-21,Dharbandora,23,0,31
2024-04-28,Dharbandora,22,0,25
2024-05-05,Dharbandora,21,0,23
2024-05-12,Dharbandora,20,0,23
2024-05-19,Dharbandora,24,0,27
2024-05-26,Dharbandora,22,0,32
2024-06-02,Dharbandora,19,0,28
2024-06-09,Dharbandora,22,0,30
2024-06-16,Dharbandora,21,0,33
2024-06-23,Dharbandora,24,0,36
2024-06-30,Dharbandora,20,0,31
2024-07-07,Dharbandora,23,0,26
2024-07-14,Dharbandora,24,0,26
2024-07-21,Dharbandora,25,0,36
2024-07-28,Dharbandora,21,0,30
2024-08-04,Dharbandora,21,0,32
2024-08-11,Dharbandora,21,0,34
2024-08-18,Dharbandora,53,0,54
2024-08-25,Dharbandora,20,0,26
2024-09-01,Dharbandora,20,0,29
2024-09-08,Dharbandora,22,0,27
2024-09-15,Dharbandora,22,0,27
2024-09-22,Dharbandora,22,0,35
2024-09-29,Dharbandora,20,0,34
2024-10-06,Dharbandora,21,0,32
2024-10-13,Dharbandora,20,0,33
2024-10-20,Dharbandora,20,0,22
2024-10-27,Dharbandora,22,0,28
2024-11-03,Dharbandora,20,0,25
2024-11-10,Dharbandora,20,0,22
2024-11-17,Dharbandora,22,0,25
2024-11-24,Dharbandora,20,0,34
2024-12-01,Dharbandora,23,0,32
2024-12-08,Dharbandora,19,0,27
2024-12-15,Dharbandora,24,0,28
2024-12-22,Dharbandora,24,0,38
2024-12-29,Dharbandora,23,0,23
